                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5957,                 3.4785,                 1.8429,                0.00638,                0.66667,                0.49772,                0.16712,                 1.7972,                 4.4334,                 2.5837,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.4693,                 3.4745,                 1.7217,                0.00642,                0.66667,                  0.499,                0.20295,                 1.5853,                 4.2986,                 2.2844,             3.3507e-05,             3.3507e-05,             3.3507e-05
                      3,                 1.4072,                 3.5581,                  1.714,                0.00789,                0.83333,                0.50315,                0.25167,                 1.4398,                 4.1119,                 2.0695,             2.8339e-05,             2.8339e-05,             2.8339e-05
