                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.6283,                 0.3578,                   0.95,                0.97656,                0.99198,                0.99399,                0.86362,                0.62081,                0.28862,                0.90694,              0.0014745,              0.0014745,              0.0014745
                     38,                0.62441,                0.35828,                0.94783,                0.98467,                0.98808,                0.99399,                0.87542,                0.58144,                0.28544,                0.89536,               0.001469,               0.001469,               0.001469
                     39,                0.61558,                  0.353,                0.95021,                0.97796,                0.99404,                0.99366,                0.87912,                0.59554,                0.29109,                0.90392,              0.0014635,              0.0014635,              0.0014635
                     40,                0.61948,                0.35538,                0.94488,                0.98031,                0.99221,                0.99414,                 0.8775,                0.58538,                0.27221,                0.90017,               0.001458,               0.001458,               0.001458
                     41,                0.62588,                0.35168,                0.94478,                0.97793,                0.99446,                0.99409,                0.86726,                 0.5912,                0.27937,                0.91354,              0.0014525,              0.0014525,              0.0014525
                     42,                 0.6159,                0.35141,                0.94451,                 0.9822,                0.99067,                0.99409,                0.87414,                0.58749,                0.27741,                0.90187,               0.001447,               0.001447,               0.001447
                     43,                 0.6242,                0.34553,                0.95077,                0.98649,                0.98385,                0.99356,                0.87232,                0.59765,                0.27728,                0.90498,              0.0014415,              0.0014415,              0.0014415
                     44,                0.61721,                 0.3492,                0.93808,                0.98764,                0.98701,                0.99362,                0.87749,                0.55918,                0.26345,                0.88589,               0.001436,               0.001436,               0.001436
                     45,                0.60188,                0.33876,                0.94087,                0.97947,                0.99331,                0.99429,                0.87974,                0.56782,                0.26643,                 0.8775,              0.0014305,              0.0014305,              0.0014305
                     46,                0.61409,                0.34292,                0.94585,                0.97927,                0.99066,                0.99232,                0.86416,                0.57563,                  0.272,                0.89263,               0.001425,               0.001425,               0.001425
                     47,                0.60036,                0.33566,                0.93838,                0.97893,                0.99286,                0.99442,                0.87313,                0.59003,                0.26781,                0.90788,              0.0014195,              0.0014195,              0.0014195
                     48,                0.59997,                0.34256,                0.93528,                0.98479,                0.99005,                0.99377,                 0.8744,                 0.5944,                0.27591,                0.89831,              0.0014139,              0.0014139,              0.0014139
                     49,                  0.598,                0.33821,                 0.9364,                0.98213,                0.99199,                0.99448,                0.87565,                0.58966,                0.26687,                0.89478,              0.0014084,              0.0014084,              0.0014084
                     50,                0.59224,                0.33913,                 0.9344,                 0.9838,                0.98754,                0.99314,                0.87345,                0.59015,                0.26675,                0.89649,              0.0014029,              0.0014029,              0.0014029
                     51,                0.59884,                0.33693,                 0.9401,                0.97736,                0.99499,                0.99444,                0.88466,                0.56005,                0.25929,                0.87824,              0.0013974,              0.0013974,              0.0013974
                     52,                0.60284,                0.33908,                0.93686,                0.98088,                0.99315,                0.99393,                0.87772,                0.56935,                0.25696,                0.88473,              0.0013919,              0.0013919,              0.0013919
                     53,                0.58928,                0.33126,                 0.9284,                0.98423,                0.98859,                0.99439,                0.88335,                0.56693,                0.25771,                0.88174,              0.0013864,              0.0013864,              0.0013864
                     54,                0.58968,                0.33472,                0.93348,                0.98233,                0.99227,                0.99402,                0.88771,                0.56182,                0.25859,                0.87857,              0.0013809,              0.0013809,              0.0013809
                     55,                0.59806,                0.33125,                0.93166,                0.97928,                0.98804,                  0.992,                0.86981,                0.58439,                0.26625,                0.90114,              0.0013754,              0.0013754,              0.0013754
                     56,                0.59496,                0.33896,                0.93025,                0.99018,                0.98417,                0.99394,                0.85951,                 0.6337,                0.27265,                0.94083,              0.0013699,              0.0013699,              0.0013699
                     57,                0.57757,                0.32856,                0.92786,                0.97884,                0.98844,                0.99351,                0.88298,                 0.5723,                0.26986,                0.89399,              0.0013644,              0.0013644,              0.0013644
                     58,                0.58356,                 0.3282,                0.93028,                0.97909,                 0.9914,                0.99431,                 0.8864,                0.55647,                 0.2695,                0.88158,              0.0013589,              0.0013589,              0.0013589
                     59,                0.57592,                0.32462,                0.92726,                0.97662,                0.99415,                0.99393,                0.89066,                0.54155,                0.25857,                 0.8722,              0.0013534,              0.0013534,              0.0013534
                     60,                0.57897,                0.32536,                0.92782,                0.97779,                0.99427,                0.99435,                 0.8732,                0.58857,                0.25979,                 0.8982,              0.0013479,              0.0013479,              0.0013479
                     61,                0.57019,                0.32519,                0.92498,                0.98348,                0.98826,                0.99426,                0.88625,                0.53885,                 0.2592,                 0.8653,              0.0013424,              0.0013424,              0.0013424
                     62,                 0.5733,                0.32226,                0.92946,                0.97547,                0.99748,                0.99435,                0.87977,                0.57249,                0.26337,                0.88677,              0.0013369,              0.0013369,              0.0013369
                     63,                0.57857,                0.32303,                0.92677,                 0.9826,                0.98749,                0.99415,                 0.8839,                0.54942,                0.25617,                0.87233,              0.0013314,              0.0013314,              0.0013314
                     64,                0.58043,                 0.3197,                0.92685,                0.97505,                0.99501,                0.99405,                0.87585,                0.56813,                0.25997,                0.88129,              0.0013259,              0.0013259,              0.0013259
                     65,                0.57548,                 0.3241,                0.92553,                0.98525,                 0.9914,                0.99436,                0.87339,                0.57209,                0.25764,                0.88138,              0.0013204,              0.0013204,              0.0013204
                     66,                0.57576,                0.31863,                0.92666,                 0.9832,                0.98977,                0.99384,                0.88338,                0.54922,                0.25205,                0.87917,              0.0013149,              0.0013149,              0.0013149
                     67,                0.57742,                0.32179,                0.92768,                0.97827,                0.99254,                0.99393,                0.88756,                0.53402,                0.25691,                0.87045,              0.0013094,              0.0013094,              0.0013094
                     68,                0.56602,                0.31823,                0.92266,                0.97824,                0.99458,                0.99396,                0.88893,                0.53612,                0.24833,                0.86913,              0.0013039,              0.0013039,              0.0013039
                     69,                0.56014,                0.30941,                0.91866,                 0.9807,                 0.9916,                 0.9941,                0.88379,                0.55363,                0.24701,                 0.8829,              0.0012984,              0.0012984,              0.0012984
                     70,                0.55698,                0.31322,                0.92103,                0.98509,                0.99109,                0.99442,                0.88322,                0.54415,                0.24853,                0.87596,              0.0012929,              0.0012929,              0.0012929
                     71,                0.54801,                0.30835,                0.91373,                0.98031,                0.99471,                0.99432,                0.88761,                0.55664,                0.25171,                0.89081,              0.0012874,              0.0012874,              0.0012874
                     72,                0.55953,                 0.3125,                0.92037,                0.98398,                0.99332,                0.99425,                0.89407,                0.53128,                0.24252,                0.86353,              0.0012819,              0.0012819,              0.0012819
                     73,                0.56131,                  0.315,                0.91792,                0.98555,                0.98799,                0.99338,                0.89538,                0.52073,                0.24403,                0.86829,              0.0012764,              0.0012764,              0.0012764
                     74,                0.56167,                0.31328,                0.91901,                0.98648,                0.99291,                0.99418,                0.89202,                0.52354,                0.23967,                0.86087,              0.0012709,              0.0012709,              0.0012709
